#{"t_start": 1618548176.2107072, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
1.0,70,429.038589
1.0,52,429.497642
1.0,52,430.703342
1.0,54,431.210239
1.0,51,431.674097
1.0,60,432.937979
1.0,70,433.585553
1.0,52,434.786379
1.0,55,435.289288
2.0,83,436.81659
1.0,55,437.31702
0.0,27,437.557772
3.0,173,440.558641
1.0,55,441.070725
1.0,51,442.25488
2.0,85,443.024667
4.0,172,446.057826
0.0,27,446.311268
2.0,107,448.016977
1.0,52,448.503774
1.0,54,449.729413
0.0,30,450.017842
0.0,29,450.274494
0.0,26,450.510657
2.0,98,452.122699
0.0,25,452.340845
0.0,25,452.573592
0.0,25,453.526709
0.0,30,453.801652
2.0,118,455.605221
3.0,140,457.658777
1.0,74,458.34043
1.0,73,459.757326
1.0,75,461.169146
4.0,166,463.391667
1.0,76,464.073861
1.0,80,465.531551
1.0,54,466.03401
1.0,61,467.310583
0.0,23,467.524133
1.0,79,468.958339
0.0,26,469.20387
1.0,51,469.652868
3.0,172,472.684516
2.0,101,474.339408
4.0,173,476.65968
1.0,75,477.34304
1.0,80,478.801431
1.0,56,480.042204
1.0,69,480.695847
4.0,161,482.868049
1.0,56,484.103763
1.0,63,484.687792
1.0,59,485.968513
1.0,71,486.632304
1.0,54,487.845549
0.0,40,488.203631
1.0,52,488.6715
4.0,153,491.510421
1.0,72,492.207216
2.0,136,494.148895
1.0,72,495.533904
6.0,250,499.241789
0.0,40,499.615171
4.0,166,501.830695
0.0,26,502.820421
1.0,74,503.500231
1.0,78,504.925889
1.0,52,505.380268
5.0,195,508.656759
1.0,74,509.353997
1.0,78,510.770127
1.0,79,511.468253
1.0,72,512.856725
0.0,23,513.068431
0.0,25,513.295532
1.0,73,514.687038
1.0,54,515.19382
2.0,98,516.802965
1.0,51,517.99374
1.0,57,518.509331
0.0,27,518.749046
2.0,107,520.466011
2.0,107,522.15268
3.0,170,524.401201
1.0,52,525.587281
2.0,126,527.505918
0.0,29,527.759767
1.0,135,529.709072
2.0,101,531.345625
0.0,28,531.603571
4.0,153,533.722907
1.0,71,535.092001
1.0,64,535.694256
2.0,82,537.184186
3.0,135,539.129225
1.0,76,539.815391
3.0,190,543.012959
0.0,30,543.295062
1.0,51,544.501374
1.0,57,545.034484
1.0,81,546.483349
2.0,101,547.394325
2.0,118,549.217901
4.0,166,552.206767
1.0,74,552.908619
1.0,79,554.361575
